stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87444604,"gare de Ste-Gauburge",,48.71726323,0.42810818,,,1,
StopArea:OCE87444638,"gare de L'Aigle",,48.7666838,0.62073331,,,1,
StopArea:OCE87393595,"gare de Verneuil-sur-Avre",,48.74273915,0.9292136,,,1,
StopArea:OCE87393553,"gare de Nonancourt",,48.77575452,1.19280226,,,1,
StopArea:OCE87393488,"gare de Dreux",,48.73145848,1.37011533,,,1,
StopArea:OCE87393009,"gare de Versailles-Chantiers",,48.79538018,2.13698935,,,1,
StopArea:OCE87391102,"gare de Paris-Montp.3-Vaug.",,48.83738466,2.31585181,,,1,
StopArea:OCE87393520,"gare de St-Germain-St-Rémy",,48.75904617,1.25629843,,,1,
StopArea:OCE87393587,"gare de Tillières",,48.76077904,1.05465531,,,1,
StopArea:OCE87393603,"gare de Bourth",,48.76580399,0.80466823,,,1,
StopArea:OCE87444588,"gare de Le Merlerault",,48.70241495,0.28349405,,,1,
StopArea:OCE87447649,"gare de Folligny",,48.82915304,-1.40639963,,,1,
StopArea:OCE87396002,"gare de Le Mans",,47.9955866,0.19214286,,,1,
StopArea:OCE87396309,"gare de Connerré-Beillé",,48.07375265,0.48694152,,,1,
StopArea:OCE87396325,"gare de La Ferté-Bernard",,48.18649363,0.63933111,,,1,
StopArea:OCE87394296,"gare de Nogent-le-Rotrou",,48.32549811,0.81005914,,,1,
StopArea:OCE87394254,"gare de La Loupe",,48.47384595,1.01088181,,,1,
StopArea:OCE87394221,"gare de Courville-sur-Eure",,48.45136445,1.23494273,,,1,
StopArea:OCE87394007,"gare de Chartres",,48.44816228,1.48100853,,,1,
StopArea:OCE87391003,"gare de Paris-Montparnasse 1-2",,48.83982078,2.31879179,,,1,
StopArea:OCE87394130,"gare de Maintenon",,48.58545088,1.59216975,,,1,
StopArea:OCE87394114,"gare de Epernon",,48.60515584,1.68142315,,,1,
StopArea:OCE87393314,"gare de Rambouillet",,48.64323911,1.83115344,,,1,
StopArea:OCE87396275,"gare de Champagné",,48.01976015,0.33571087,,,1,
StopArea:OCE87396283,"gare de St-Mars-la-Brière",,48.02852166,0.3658344,,,1,
StopArea:OCE87396291,"gare de Montfort-le-Gesnois",,48.04064407,0.4063278,,,1,
StopArea:OCE87396317,"gare de Sceaux-Boessé",,48.12223729,0.57227609,,,1,
StopArea:OCE87396333,"gare de Le Theil-la-Rouge",,48.26713368,0.69428464,,,1,
StopArea:OCE87394288,"gare de Condé-sur-Huisne",,48.38327962,0.84876894,,,1,
StopArea:OCE87394270,"la loupe",,48.43273874,0.89236024,,,1,
StopArea:OCE87394247,"gare de Pontgouin",,48.47785731,1.14145141,,,1,
StopArea:OCE87394213,"gare de St-Aubin-St-Luperce",,48.44746467,1.33371232,,,1,
StopArea:OCE87394205,"gare de Amilly-Ouerray",,48.4384545,1.38956668,,,1,
StopArea:OCE87394171,"gare de La Villette-St-Prest",,48.48274339,1.52292602,,,1,
StopArea:OCE87394155,"gare de Jouy",,48.51019368,1.55749975,,,1,
StopArea:OCE87394148,"gare de St-Piat",,48.54293537,1.59039986,,,1,
StopArea:OCE87393348,"gare de Gazeran",,48.62595883,1.77084315,,,1,
StopArea:OCE87543009,"gare de Orléans",,47.90815267,1.90475291,,,1,
StopArea:OCE87574137,"gare de Meung-sur-Loire",,47.82990326,1.69193718,,,1,
StopArea:OCE87574160,"gare de Beaugency",,47.77835004,1.62594975,,,1,
StopArea:OCE87574194,"gare de Mer (Loir-et-Cher)",,47.70588464,1.50636083,,,1,
StopArea:OCE87574004,"gare de Blois",,47.58542729,1.32372923,,,1,
StopArea:OCE87574319,"gare de Onzain",,47.49194989,1.18574565,,,1,
StopArea:OCE87574343,"gare de Amboise",,47.42143479,0.98122701,,,1,
