route_id,route_accessible
"0001","1"
"0002","0"
"0003","1"
"0004","1"
"0005","1"
"0006","1"
"0008","1"
"0009","1"
"0011","1"
"0030","1"
"0031","0"
"0032","1"
"0033","0"
"0034","1"
"0035","1"
"0040","0"
"0041","1"
"0042","0"
"0044","0"
"0050","1"
"0051","1"
"0052","1"
"0053","0"
"0054","1"
"0055","1"
"0056","1"
"0057","1"
"0059","0"
"0061","1"
"0064","1"
"0065","1"
"0067","0"
"0068","1"
"0070","0"
"0071","1"
"0072","1"
"0073","1"
"0074","0"
"0075","0"
"0076","0"
"0077","1"
"0078","1"
"0079","0"
"0090","0"
"0091","0"
"0093","0"
"0094","1"
"0150","0"
"0151","0"
"0152","0"
"0153","0"
"0154","0"
"0155","0"
"0156","0"
"0157","0"
"0158","0"
"0159","0"
"0161","0"
"0164","0"
"0172","0"
"0173","0"
"0203","0"
"0207","0"
"0804","0"
"0805","0"
